"","model","npar","AIC","DeltaAIC","weight","neg2lnl","convergence","taxa"
"57","Phi(~Geschlecht)p(~Initials)",13,143.841820281296,6.35196330195345,0.0129516844330124,117.841820281296,0,"Blaumeise"
"58","Phi(~Geschlecht)p(~Initials)",13,364.537983011823,0,0.905994091235352,338.537983011823,0,"Weißsterniges Blaukehlchen"
"28","Phi(~1)p(~Initials)",11,369.073393675247,4.53541066342393,0.0938152527900296,347.073393675247,0,"Weißsterniges Blaukehlchen"
"68","Phi(~Geschlecht)p(~Geschlecht)",6,382.41618836651,17.8782053546865,0.000118828988231428,370.41618836651,0,"Weißsterniges Blaukehlchen"
"48","Phi(~Geschlecht)p(~1)",4,384.253304183497,19.7153211716738,4.74239548371039e-05,376.253304183497,0,"Weißsterniges Blaukehlchen"
"38","Phi(~1)p(~Geschlecht)",4,386.194599170375,21.6566161585512,1.79659802572801e-05,378.194599170375,0,"Weißsterniges Blaukehlchen"
"18","Phi(~1)p(~1)",2,388.247418015445,23.7094350036216,6.43705129219838e-06,384.247418015445,0,"Weißsterniges Blaukehlchen"
"39","Phi(~1)p(~Geschlecht)",4,1306.55009421401,0,0.616869663843621,1298.55009421401,0,"Amsel"
"69","Phi(~Geschlecht)p(~Geschlecht)",6,1307.50430662807,0.954212414051881,0.382814888622352,1295.50430662807,0,"Amsel"
"49","Phi(~Geschlecht)p(~1)",4,1322.82349301083,16.2733987968177,0.000180496906734205,1314.82349301083,0,"Amsel"
"59","Phi(~Geschlecht)p(~Initials)",14,1323.40527143701,16.8551772229919,0.000134939216288716,1295.40527143701,0,"Amsel"
"29","Phi(~1)p(~Initials)",12,1342.2919977916,35.7419035775831,1.06890144699985e-08,1318.2919977916,0,"Amsel"
"19","Phi(~1)p(~1)",2,1347.68192033072,41.1318261167032,7.21989458550716e-10,1343.68192033072,0,"Amsel"
"510","Phi(~Geschlecht)p(~Initials)",12,267.7047452351,0,0.937827531538034,243.7047452351,0,"Feldsperling"
"210","Phi(~1)p(~Initials)",10,273.147276438289,5.44253120318854,0.0617010199895438,253.147276438289,0,"Feldsperling"
"610","Phi(~Geschlecht)p(~Geschlecht)",6,283.250726193572,15.5459809584714,0.000394780874768566,271.250726193572,0,"Feldsperling"
"410","Phi(~Geschlecht)p(~1)",4,287.16196405243,19.4572188173301,5.58523685708639e-05,279.16196405243,0,"Feldsperling"
"310","Phi(~1)p(~Geschlecht)",4,289.138793047131,21.4340478120305,2.07863690297026e-05,281.138793047131,0,"Feldsperling"
"110","Phi(~1)p(~1)",2,302.29798170439,34.5932364692897,2.88600529228739e-08,298.29798170439,0,"Feldsperling"
"511","Phi(~Geschlecht)p(~Initials)",10,276.93453539593,0,0.498202100969179,256.93453539593,0,"Goldammer"
"611","Phi(~Geschlecht)p(~Geschlecht)",4,277.422085793618,0.487550397687755,0.390422943137742,269.422085793618,0,"Goldammer"
"211","Phi(~1)p(~Initials)",9,280.204399906775,3.26986451084446,0.0971322609313002,262.204399906775,0,"Goldammer"
"411","Phi(~Geschlecht)p(~1)",3,284.159756354097,7.22522095816674,0.0134421506494788,278.159756354097,0,"Goldammer"
"111","Phi(~1)p(~1)",2,290.574321045873,13.6397856499427,0.000543955952522492,286.574321045873,0,"Goldammer"
"311","Phi(~1)p(~Geschlecht)",3,292.077111418068,15.1425760221377,0.000256588359777189,286.077111418068,0,"Goldammer"
"612","Phi(~Geschlecht)p(~Geschlecht)",6,418.391489021104,0,0.356549526680385,406.391489021104,0,"Rohrammer"
"312","Phi(~1)p(~Geschlecht)",4,418.953224379734,0.561735358630528,0.269240619391932,410.953224379734,0,"Rohrammer"
"212","Phi(~1)p(~Initials)",11,420.004082912394,1.61259389128986,0.159202377816165,398.004082912394,0,"Rohrammer"
"412","Phi(~Geschlecht)p(~1)",4,420.883920336858,2.49243131575446,0.102540464583345,412.883920336858,0,"Rohrammer"
"512","Phi(~Geschlecht)p(~Initials)",13,421.098448455536,2.70695943443195,0.0921109139898423,395.098448455536,0,"Rohrammer"
"112","Phi(~1)p(~1)",2,424.117674330372,5.72618530926832,0.0203560975383306,420.117674330372,0,"Rohrammer"
