"","Ring_Inschrift","Fundtyp","Artbezeichnung deutsch","Ortsbezeichnung","Datum","Beobachter","Altersdefinition","Bemerkung","Geschlecht","date","year","month","day","Gewicht_num_min","Fluegellaenge_num_min","Teilfederlaenge_num_min"
"1","PA95693","Wiederfund","Bartmeise","Rietzer See","16.07.2005 00:00:00","Binder, Henrik","Adult",NA,"weiblich",2005-07-16,2005,7,16,16,61,4.4
"2","VD29107","Wiederfund","Bartmeise","Rietzer See","15.07.2005 17:00:00","Binder, Henrik","Adult",NA,"männlich",2005-07-15,2005,7,15,14,62,4.5
"3","VD29107","Wiederfund","Bartmeise","Rietzer See","16.07.2005 07:00:00","Binder, Henrik","Adult","EWF:1710","männlich",2005-07-16,2005,7,16,14,62,4.5
"4","VD55387","Wiederfund","Bartmeise","Rietzer See","15.07.2005 00:00:00","Binder, Henrik","Adult",NA,"männlich",2005-07-15,2005,7,15,14.5,56,4.4
"5","VD55387","Wiederfund","Bartmeise","Rietzer See","15.07.2005 21:00:00","Binder, Henrik","Adult","EWF:1710","männlich",2005-07-15,2005,7,15,14.5,56,4.4
"6","VD75489","Wiederfund","Bartmeise","Rietzer See","15.07.2005 00:00:00","Binder, Henrik","Adult",NA,"weiblich",2005-07-15,2005,7,15,13.5,56,4.4
"7","VD64131","Wiederfund","Bartmeise","Rietzer See","26.04.2003 08:00:00","Binder, Henrik","Adult",NA,"weiblich",2003-04-26,2003,4,26,15,59,4.6
"8","VC45573","Wiederfund","Teichrohrsänger","Rietzer See","16.07.2005 00:00:00","Binder, Henrik","Adult",NA,"unbekannt",2005-07-16,2005,7,16,12,50,5.1
"9","VD29373","Wiederfund","Teichrohrsänger","Rietzer See","16.07.2005 00:00:00","Binder, Henrik","Adult",NA,"unbekannt",2005-07-16,2005,7,16,11.5,69,5.3
"10","VD70136","Beringung","Teichrohrsänger","Rietzer See","15.07.2005 17:00:00","Binder, Henrik","Adult","FETT=;2;MAUSER=;/;EINKERBUNG;","weiblich",2005-07-15,2005,7,15,12.5,69,51.5
"11","VD70137","Beringung","Teichrohrsänger","Rietzer See","15.07.2005 18:00:00","Binder, Henrik","Adult","FETT=;3;MAUSER=;/;EINKERBUNG;","weiblich",2005-07-15,2005,7,15,12,67,50.5
"12","ZD91906","Beringung","Bartmeise","Rietzer See","29.04.2011 19:00:00","Binder, Henrik","Adult","FETT= 3; MAUSER= 1","männlich",2011-04-29,2011,4,29,6.1,61.5,41
"13","ZB22626","Beringung","Bartmeise","Rietzer See","27.09.2008 11:00:00","Binder, Henrik","Adult","FETT=;2;MAUSER=;/","männlich",2008-09-27,2008,9,27,16.2,64,41
"14","ZB22538","Beringung","Bartmeise","Rietzer See","14.07.2007 06:00:00","Binder, Henrik","Adult","FETT=1;MAUSER=1;HS;1-10;ALT","männlich",2007-07-14,2007,7,14,16.5,60,41.5
"15","ZB9195","Beringung","Bartmeise","Rietzer See","30.09.2006 09:00:00","Binder, Henrik","Adult","FETT= 1; MAUSER= 3; KGM; K:0; R:2","weiblich",2006-09-30,2006,9,30,13.9,57,42
"16","VF52954","Wiederfund","Weidenmeise","Rietzer See","15.02.2014 08:00:00","Binder, Henrik","Adult","Fett= 1","unbekannt",2014-02-15,2014,2,15,9.8,60,42
"17","ZB22514","Beringung","Bartmeise","Rietzer See","27.04.2007 19:00:00","Binder, Henrik","Adult","FETT=3;MAUSER=1;K=;0;R=;0","weiblich",2007-04-27,2007,4,27,16,60,42
"18","VF52957","Wiederfund","Weidenmeise","Rietzer See","14.02.2014 17:00:00","Binder, Henrik","Adult","Fett= 1","unbekannt",2014-02-14,2014,2,14,9.8,57,42
"19","ZB22545","Beringung","Bartmeise","Rietzer See","14.07.2007 07:00:00","Binder, Henrik","Adult","FETT=2;MAUSER=1;HS;1-10;ALT;R:1","weiblich",2007-07-14,2007,7,14,15.3,58,42.5
"20","VF52957","Wiederfund","Weidenmeise","Rietzer See","07.07.2014 20:00:00","Binder, Henrik","Adult","Fett= 1","unbekannt",2014-07-07,2014,7,7,9.8,57,42
"21","XC9837","Beringung","Zilpzalp","Rietzer See","28.05.2012 08:00:00","Binder, Henrik","Adult","FETT= 0; MAUSER= 1","weiblich",2012-05-28,2012,5,28,6.6,57,43
"22","ZB22534","Beringung","Bartmeise","Rietzer See","13.07.2007 21:00:00","Binder, Henrik","Adult","FETT=3;MAUSER=2;HS;1-7;ALT;SCHIEBT;HS;8-10","weiblich",2007-07-13,2007,7,13,16.9,57,43
"23","VF52957","Wiederfund","Weidenmeise","Rietzer See","28.12.2013 12:00:00","Binder, Henrik","Adult","Fett= 2","unbekannt",2013-12-28,2013,12,28,9.8,57,42
"24","ZB22600","Beringung","Bartmeise","Rietzer See","26.04.2008 07:00:00","Binder, Henrik","Adult","F=;1;M=;1;EI","weiblich",2008-04-26,2008,4,26,17.2,59,43
"25","VF52957","Wiederfund","Weidenmeise","Rietzer See","09.07.2014 20:00:00","Binder, Henrik","Adult","Fett= 1","unbekannt",2014-07-09,2014,7,9,9.8,57,42
"26","ZB22684","Beringung","Bartmeise","Rietzer See","26.09.2009 09:00:00","Binder, Henrik","Adult","FETT:0;MAUSER:3; KGM","männlich",2009-09-26,2009,9,26,16,64,43
"27","ZB9189","Beringung","Bartmeise","Rietzer See","30.09.2006 09:00:00","Binder, Henrik","Adult","FETT= 2; MAUSER= 3; KGM; K:0; R:1","weiblich",2006-09-30,2006,9,30,16,60,43.5
"28","VD70191","Beringung","Beutelmeise","Rietzer See","24.09.2005 09:00:00","Binder, Henrik","Adult","FETT=;2;MAUSER=;1","männlich",2005-09-24,2005,9,24,9.5,48,44
"29","VD70195","Beringung","Beutelmeise","Rietzer See","24.09.2005 10:00:00","Binder, Henrik","Adult","FETT=;2;MAUSER=;1","weiblich",2005-09-24,2005,9,24,10,57,44
"30","ZB22533","Beringung","Bartmeise","Rietzer See","13.07.2007 21:00:00","Binder, Henrik","Adult","FETT=3;MAUSER=1","weiblich",2007-07-13,2007,7,13,NA,59,44
"31","VF52955","Wiederfund","Weidenmeise","Rietzer See","27.12.2013 16:00:00","Binder, Henrik","Adult",NA,"unbekannt",2013-12-27,2013,12,27,11.1,61,44
"32","ZB22538","Wiederfund","Bartmeise","Rietzer See","11.07.2009 06:00:00","Binder, Henrik","Adult","F= 0; M=/","männlich",2009-07-11,2009,7,11,16.5,60,41.5
"33","XC9858","Beringung","Schwanzmeise","Rietzer See","16.09.2012 10:00:00","Binder, Henrik","Adult","FETT= 1; MAUSER= 1; KGM","unbekannt",2012-09-16,2012,9,16,8.4,63,44
"34","VF52957","Wiederfund","Weidenmeise","Rietzer See","20.04.2014 16:00:00","Binder, Henrik","Adult","Fett= 1","weiblich",2014-04-20,2014,4,20,9.8,57,42
"35","ZB22513","Beringung","Bartmeise","Rietzer See","27.04.2007 19:00:00","Binder, Henrik","Adult","FETT=4;MAUSER=1","männlich",2007-04-27,2007,4,27,16.8,59,45
"36","ZB66957","Beringung","Bartmeise","Rietzer See","26.04.2003 07:00:00","Binder, Henrik","Adult","FETT:2;MAUSER:1;R:1","weiblich",2003-04-26,2003,4,26,18,60,45
"37","ZB22526","Wiederfund","Bartmeise","Rietzer See","29.06.2009 11:00:00","Binder, Henrik","Adult","Fett= 0; BF","männlich",2009-06-29,2009,6,29,14.3,57,40
"38","ZB66950","Beringung","Bartmeise","Rietzer See","25.04.2003 20:00:00","Binder, Henrik","Adult","FETT:3;MAUSER:1;GEW:216","weiblich",2003-04-25,2003,4,25,NA,60,45
"39","ZB66966","Beringung","Bartmeise","Rietzer See","26.04.2003 08:00:00","Binder, Henrik","Adult","FETT:2;MAUSER:1;R:3","weiblich",2003-04-26,2003,4,26,16.4,60,45
"40","ZB9194","Beringung","Bartmeise","Rietzer See","30.09.2006 09:00:00","Binder, Henrik","Adult","FETT= 2; MAUSER= 3; KGM; K:0; R:1","weiblich",2006-09-30,2006,9,30,14.2,60,45
"41","ZB22598","Beringung","Bartmeise","Rietzer See","26.04.2008 06:00:00","Binder, Henrik","Adult","F=;2;M=;1;EI","weiblich",2008-04-26,2008,4,26,15.6,60,45
"42","ZB66948","Beringung","Bartmeise","Rietzer See","25.04.2003 19:00:00","Binder, Henrik","Adult","FETT:3;MAUSER:1;R:1","weiblich",2003-04-25,2003,4,25,17.6,60,45
"43","ZB66955","Beringung","Bartmeise","Rietzer See","25.04.2003 20:00:00","Binder, Henrik","Adult","FETT:/;MAUSER:1","weiblich",2003-04-25,2003,4,25,19.2,60,45
"44","ZB22526","Wiederfund","Bartmeise","Rietzer See","25.04.2009 06:00:00","Binder, Henrik","Adult","Fett= 1","männlich",2009-04-25,2009,4,25,14.3,57,40
"45","ZB9191","Beringung","Bartmeise","Rietzer See","30.09.2006 09:00:00","Binder, Henrik","Adult","FETT= 3; MAUSER= 3; KGM; K:0; R:2","weiblich",2006-09-30,2006,9,30,15.5,60.5,45
"46","ZD91912","Beringung","Bartmeise","Rietzer See","30.04.2011 06:00:00","Binder, Henrik","Adult","FETT= 3; MAUSER= 1; K=1; R= 1","weiblich",2011-04-30,2011,4,30,16.1,60,45
"47","ZB22680","Beringung","Bartmeise","Rietzer See","26.09.2009 09:00:00","Binder, Henrik","Adult","FETT:2;MAUSER:3; KGM; K=0; R= 1","weiblich",2009-09-26,2009,9,26,16.5,61,45
"48","ZD91914","Beringung","Bartmeise","Rietzer See","30.04.2011 07:00:00","Binder, Henrik","Adult","FETT= 2; MAUSER= 1; K= 0; R= 0","weiblich",2011-04-30,2011,4,30,14.8,60.5,45
"49","ZB22594","Beringung","Bartmeise","Rietzer See","25.04.2008 19:00:00","Binder, Henrik","Adult","F=;3;M=;1;","männlich",2008-04-25,2008,4,25,14.6,60,45
"50","ZB22681","Beringung","Bartmeise","Rietzer See","26.09.2009 09:00:00","Binder, Henrik","Adult","FETT:0;MAUSER:2; KGM; SCHIEBT HS 2","männlich",2009-09-26,2009,9,26,14.5,62,45
"51","ZD91910","Beringung","Bartmeise","Rietzer See","29.04.2011 20:00:00","Binder, Henrik","Adult","FETT= 2; MAUSER= 1","männlich",2011-04-29,2011,4,29,15,60.5,45
"52","XC9857","Beringung","Schwanzmeise","Rietzer See","16.09.2012 10:00:00","Binder, Henrik","Adult","FETT= 0; MAUSER= 1; KGM","unbekannt",2012-09-16,2012,9,16,7.9,63,45
"53","XC9888","Beringung","Zilpzalp","Rietzer See","13.07.2013 09:00:00","Binder, Henrik","Adult","FETT= 1; MAUSER= 1; GGF ABGENUTZT","unbekannt",2013-07-13,2013,7,13,8.2,63,45
"54","XC9855","Beringung","Schwanzmeise","Rietzer See","16.09.2012 10:00:00","Binder, Henrik","Adult","FETT= 2; MAUSER= 1","unbekannt",2012-09-16,2012,9,16,7.9,63,45
"55","ZC59404","Beringung","Bartmeise","Rietzer See","26.09.2009 10:00:00","Binder, Henrik","Adult","FETT:1;MAUSER:3; KGM","männlich",2009-09-26,2009,9,26,15.1,60,45.5
"56","VE61948","Wiederfund","Bartmeise","Rietzer See","28.04.2007 06:00:00","Binder, Henrik","Adult",NA,"weiblich",2007-04-28,2007,4,28,14.5,59,46
"57","ZB9192","Beringung","Bartmeise","Rietzer See","30.09.2006 09:00:00","Binder, Henrik","Adult","FETT= 1; MAUSER= 3; KGM; K:2; R:2","weiblich",2006-09-30,2006,9,30,16.1,60,46
"58","ZB66949","Beringung","Bartmeise","Rietzer See","25.04.2003 20:00:00","Binder, Henrik","Adult","FETT:2;MAUSER:1","männlich",2003-04-25,2003,4,25,16.8,60,46
"59","ZB66951","Beringung","Bartmeise","Rietzer See","25.04.2003 20:00:00","Binder, Henrik","Adult","FETT:3;MAUSER:1;GEW:221","weiblich",2003-04-25,2003,4,25,NA,60,46
"60","ZB22594","Wiederfund","Bartmeise","Rietzer See","29.06.2009 09:00:00","Binder, Henrik","Adult",NA,"männlich",2009-06-29,2009,6,29,14.6,60,45
"61","ZB22601","Beringung","Bartmeise","Rietzer See","26.04.2008 07:00:00","Binder, Henrik","Adult","F=;1;M=;1","männlich",2008-04-26,2008,4,26,16.6,61,46
"62","ZB66965","Beringung","Bartmeise","Rietzer See","26.04.2003 08:00:00","Binder, Henrik","Adult","FETT:2;MAUSER:1;R:2","weiblich",2003-04-26,2003,4,26,18.1,61,46
"63","ZB66970","Beringung","Bartmeise","Rietzer See","26.04.2003 09:00:00","Binder, Henrik","Adult","FETT:2;MAUSER:1","männlich",2003-04-26,2003,4,26,15.6,61,46
"64","ZB66967","Beringung","Bartmeise","Rietzer See","26.04.2003 08:00:00","Binder, Henrik","Adult","FETT:1;MAUSER:1;R:0","weiblich",2003-04-26,2003,4,26,16.6,61,46
"65","ZB66971","Beringung","Bartmeise","Rietzer See","26.04.2003 09:00:00","Binder, Henrik","Adult","FETT:1;MAUSER:1;R:1","weiblich",2003-04-26,2003,4,26,16.1,61,46
"66","ZB22526","Wiederfund","Bartmeise","Rietzer See","24.04.2009 20:00:00","Binder, Henrik","Adult","Fett= 1","männlich",2009-04-24,2009,4,24,14.3,57,40
"67","VF52955","Wiederfund","Weidenmeise","Rietzer See","15.02.2014 16:00:00","Binder, Henrik","Adult","Fett= 1","unbekannt",2014-02-15,2014,2,15,11.1,61,44
"68","VF52955","Wiederfund","Weidenmeise","Rietzer See","27.06.2015 21:00:00","Binder, Henrik","Adult","Fett= 1","weiblich",2015-06-27,2015,6,27,11.1,61,44
"69","ZD91917","Beringung","Bartmeise","Rietzer See","30.04.2011 09:00:00","Binder, Henrik","Adult","FETT= 2; MAUSER= 1","männlich",2011-04-30,2011,4,30,16.8,61.5,46
"70","ZD91909","Beringung","Bartmeise","Rietzer See","29.04.2011 20:00:00","Binder, Henrik","Adult","FETT= 2; MAUSER= 1; K=0; R=0","weiblich",2011-04-29,2011,4,29,15.1,61,46
"71","ZB22540","Wiederfund","Bartmeise","Rietzer See","26.04.2008 07:00:00","Binder, Henrik","Adult","F=;1;M=;1","männlich",2008-04-26,2008,4,26,15.5,58,42
"72","5X2933","Beringung","Schwanzmeise","Rietzer See","17.09.2011 13:00:00","Binder, Henrik","Adult","FETT= 1; MAUSER= 1; KGM","weiblich",2011-09-17,2011,9,17,8,62,46
"73","ZB22596","Beringung","Bartmeise","Rietzer See","25.04.2008 20:00:00","Binder, Henrik","Adult","F=;2;M=;1;EI","weiblich",2008-04-25,2008,4,25,18.3,62,46
"74","ZB22516","Beringung","Bartmeise","Rietzer See","28.04.2007 06:00:00","Binder, Henrik","Adult","FETT=0;MAUSER=1;K=;0;R=;2","weiblich",2007-04-28,2007,4,28,14.3,62,46
"75","ZB66960","Beringung","Bartmeise","Rietzer See","26.04.2003 07:00:00","Binder, Henrik","Adult","FETT:1;MAUSER:1","männlich",2003-04-26,2003,4,26,14.4,62,46
"76","ZD91907","Beringung","Bartmeise","Rietzer See","29.04.2011 19:00:00","Binder, Henrik","Adult","FETT= 3; MAUSER= 1","männlich",2011-04-29,2011,4,29,16.7,61.5,46
"77","VF52955","Wiederfund","Weidenmeise","Rietzer See","15.02.2014 10:00:00","Binder, Henrik","Adult","Fett= 2","unbekannt",2014-02-15,2014,2,15,11.1,61,44
"78","ZB22682","Beringung","Bartmeise","Rietzer See","26.09.2009 09:00:00","Binder, Henrik","Adult","FETT:0;MAUSER:3; KGM","männlich",2009-09-26,2009,9,26,16.7,63,46
"79","ZB22693","Beringung","Bartmeise","Rietzer See","26.09.2009 09:00:00","Binder, Henrik","Adult","FETT:0;MAUSER:2; KGM; SCHIEBT HS2","männlich",2009-09-26,2009,9,26,17,63,46
"80","XC9856","Beringung","Schwanzmeise","Rietzer See","16.09.2012 10:00:00","Binder, Henrik","Adult","FETT= 1; MAUSER= 1; KGM","unbekannt",2012-09-16,2012,9,16,8.2,64,46
"81","ZB22592","Beringung","Bartmeise","Rietzer See","29.09.2007 10:00:00","Binder, Henrik","Adult","FETT=4;MAUSER=1","männlich",2007-09-29,2007,9,29,17,64,46
"82","5X2931","Beringung","Schwanzmeise","Rietzer See","17.09.2011 11:00:00","Binder, Henrik","Adult","FETT= 0; MAUSER= 1; KGM","weiblich",2011-09-17,2011,9,17,7.9,64,46
"83","XC9854","Beringung","Schwanzmeise","Rietzer See","16.09.2012 10:00:00","Binder, Henrik","Adult","FETT= 0; MAUSER= 1","unbekannt",2012-09-16,2012,9,16,8,65,46
"84","ZB66961","Beringung","Bartmeise","Rietzer See","26.04.2003 07:00:00","Binder, Henrik","Adult","FETT:1;MAUSER:1","männlich",2003-04-26,2003,4,26,16.7,61,46.5
"85","ZB22599","Beringung","Bartmeise","Rietzer See","26.04.2008 07:00:00","Binder, Henrik","Adult","F=;1;M=;1;EI","weiblich",2008-04-26,2008,4,26,16.7,62,46.5
"86","ZB22593","Beringung","Bartmeise","Rietzer See","25.04.2008 19:00:00","Binder, Henrik","Adult","F=;3;M=;1;EI;","weiblich",2008-04-25,2008,4,25,18.4,62.5,46.5
"87","VF52955","Wiederfund","Weidenmeise","Rietzer See","15.06.2014 08:00:00","Binder, Henrik","Adult","Fett= 1; HS 6+7 wachsend,","weiblich",2014-06-15,2014,6,15,11.1,61,44
"88","ZD91906","Wiederfund","Bartmeise","Rietzer See","13.06.2011 05:00:00","Binder, Henrik","Adult","Fett= 1","männlich",2011-06-13,2011,6,13,6.1,61.5,41
"89","ZB66959","Beringung","Bartmeise","Rietzer See","26.04.2003 07:00:00","Binder, Henrik","Adult","FETT:1;MAUSER:1","weiblich",2003-04-26,2003,4,26,16.4,62,47
"90","VF52913","Wiederfund","Weidenmeise","Rietzer See","18.05.2013 20:00:00","Binder, Henrik","Adult","Fett= 1","männlich",2013-05-18,2013,5,18,11.1,62,47
"91","ZD91916","Beringung","Bartmeise","Rietzer See","30.04.2011 09:00:00","Binder, Henrik","Adult","FETT= 1; MAUSER= 1","männlich",2011-04-30,2011,4,30,14.6,61.5,47
"92","ZB66956","Beringung","Bartmeise","Rietzer See","26.04.2003 07:00:00","Binder, Henrik","Adult","FETT:2;MAUSER:1","männlich",2003-04-26,2003,4,26,15,62,47
"93","VF52990","Wiederfund","Sumpfmeise","Rietzer See","14.09.2013 13:00:00","Binder, Henrik","Adult","Fett= 1","unbekannt",2013-09-14,2013,9,14,10.4,62,44
"94","ZD91908","Beringung","Bartmeise","Rietzer See","29.04.2011 20:00:00","Binder, Henrik","Adult","FETT= 3; MAUSER= 1","männlich",2011-04-29,2011,4,29,14.7,61.5,47
"95","VF52955","Wiederfund","Weidenmeise","Rietzer See","23.12.2014 17:00:00","Binder, Henrik","Adult","Fett= 1","unbekannt",2014-12-23,2014,12,23,11.1,61,44
"96","ZB22611","Beringung","Bartmeise","Rietzer See","26.09.2008 18:00:00","Binder, Henrik","Adult","FETT=;3;MAUSER=;/","männlich",2008-09-26,2008,9,26,16.1,63,47
"97","ZD91915","Beringung","Bartmeise","Rietzer See","30.04.2011 08:00:00","Binder, Henrik","Adult","FETT= 1; MAUSER= 1; K= 0; R= 0","weiblich",2011-04-30,2011,4,30,14.8,61.5,47
"98","ZD91911","Beringung","Bartmeise","Rietzer See","30.04.2011 06:00:00","Binder, Henrik","Adult","FETT= 1; MAUSER= 1","männlich",2011-04-30,2011,4,30,16,61.5,47
"99","ZB22618","Beringung","Bartmeise","Rietzer See","27.09.2008 08:00:00","Binder, Henrik","Adult","FETT=;3;MAUSER=;/;KGM","männlich",2008-09-27,2008,9,27,16.6,64,47
"100","5X2930","Beringung","Schwanzmeise","Rietzer See","17.09.2011 11:00:00","Binder, Henrik","Adult","FETT= 0; MAUSER= 1; KGM","weiblich",2011-09-17,2011,9,17,8.2,62,47
"101","XC9859","Beringung","Schwanzmeise","Rietzer See","16.09.2012 10:00:00","Binder, Henrik","Adult","FETT= 0; MAUSER= 1; KGM","unbekannt",2012-09-16,2012,9,16,8.1,65,47
"102","XC9853","Beringung","Schwanzmeise","Rietzer See","16.09.2012 10:00:00","Binder, Henrik","Adult","FETT= 0; MAUSER= 1","unbekannt",2012-09-16,2012,9,16,8.9,66,47
"103","ZB66962","Beringung","Bartmeise","Rietzer See","26.04.2003 07:00:00","Binder, Henrik","Adult","FETT:2;MAUSER:1","männlich",2003-04-26,2003,4,26,15.8,63,47.5
"104","ZB22595","Beringung","Bartmeise","Rietzer See","25.04.2008 20:00:00","Binder, Henrik","Adult","F=;3;M=;1","männlich",2008-04-25,2008,4,25,16.3,63.5,47.5
"105","ZB66963","Beringung","Bartmeise","Rietzer See","26.04.2003 07:00:00","Binder, Henrik","Adult","FETT:2;MAUSER:1","männlich",2003-04-26,2003,4,26,15.3,64,47.5
"106","ZB66952","Beringung","Bartmeise","Rietzer See","25.04.2003 20:00:00","Binder, Henrik","Adult","FETT:2;MAUSER:1","männlich",2003-04-25,2003,4,25,17.8,62,48
"107","ZB9199","Beringung","Bartmeise","Rietzer See","30.09.2006 10:00:00","Binder, Henrik","Adult","FETT= 2; MAUSER= 3; KGM","männlich",2006-09-30,2006,9,30,15.4,63,48
"108","ZB66958","Beringung","Bartmeise","Rietzer See","26.04.2003 07:00:00","Binder, Henrik","Adult","FETT:1;MAUSER:1","männlich",2003-04-26,2003,4,26,16.3,63,48
"109","ZD91908","Wiederfund","Bartmeise","Rietzer See","31.10.2011 08:00:00","Binder, Henrik","Adult","Fett= 4","männlich",2011-10-31,2011,10,31,14.7,61.5,47
"110","ZD91908","Wiederfund","Bartmeise","Rietzer See","06.07.2012 17:00:00","Binder, Henrik","Adult","Fett= 3","männlich",2012-07-06,2012,7,6,14.7,61.5,47
"111","VE39011","Wiederfund","Bartmeise","Rietzer See","14.07.2007 06:00:00","Binder, Henrik","Adult",NA,"männlich",2007-07-14,2007,7,14,13.6,62,4.7
"112","ZB66964","Beringung","Bartmeise","Rietzer See","26.04.2003 07:00:00","Binder, Henrik","Adult","FETT:1;MAUSER:1","männlich",2003-04-26,2003,4,26,15.7,63,48
"113","VD70140","Beringung","Teichrohrsänger","Rietzer See","15.07.2005 19:00:00","Binder, Henrik","Adult","FETT=;2;MAUSER=;1;EINKERBUNG;","weiblich",2005-07-15,2005,7,15,12.5,65,50
"114","ZB66953","Beringung","Bartmeise","Rietzer See","25.04.2003 20:00:00","Binder, Henrik","Adult","FETT:/;MAUSER:1","männlich",2003-04-25,2003,4,25,18.5,64,48
"115","ZD91918","Beringung","Bartmeise","Rietzer See","30.04.2011 09:00:00","Binder, Henrik","Adult","FETT= 3; MAUSER= 1","männlich",2011-04-30,2011,4,30,16,63,48
"116","ZB66968","Beringung","Bartmeise","Rietzer See","26.04.2003 08:00:00","Binder, Henrik","Adult","FETT:1;MAUSER:1","männlich",2003-04-26,2003,4,26,16,64,48
"117","VF52913","Wiederfund","Weidenmeise","Rietzer See","30.03.2013 14:00:00","Binder, Henrik","Adult","Fett= 1","unbekannt",2013-03-30,2013,3,30,11.1,62,47
"118","5X2950","Beringung","Zilpzalp","Rietzer See","27.04.2012 18:00:00","Binder, Henrik","Adult","FETT= 1; MAUSER= 1","männlich",2012-04-27,2012,4,27,8.3,64,48
"119","ZB22532","Beringung","Bartmeise","Rietzer See","13.07.2007 21:00:00","Binder, Henrik","Adult","FETT=5;MAUSER=1","männlich",2007-07-13,2007,7,13,18,64,48
"120","VF52839","Beringung","Teichrohrsänger","Rietzer See","27.05.2012 19:00:00","Binder, Henrik","Adult","FETT= 1; MAUSER= 1; E= 13,0","weiblich",2012-05-27,2012,5,27,13,65,48
"121","5X2935","Beringung","Schwanzmeise","Rietzer See","17.09.2011 13:00:00","Binder, Henrik","Adult","FETT= 1; MAUSER= 1; KGM","weiblich",2011-09-17,2011,9,17,8.9,66,48
"122","ZD91913","Beringung","Bartmeise","Rietzer See","30.04.2011 06:00:00","Binder, Henrik","Adult","FETT= 1; MAUSER= 1","männlich",2011-04-30,2011,4,30,16.2,65,48
"123","VE93876","Beringung","Teichrohrsänger","Rietzer See","10.07.2009 21:00:00","Binder, Henrik","Adult","FETT= 2; MAUSER=/; E= 11,5","männlich",2009-07-10,2009,7,10,12,66,48
"124","VF52977","Beringung","Teichrohrsänger","Rietzer See","27.07.2013 06:00:00","Binder, Henrik","Adult","FETT= 0; MAUSER= 1; E= 13,0","männlich",2013-07-27,2013,7,27,12.1,67,48
"125","ZB66954","Beringung","Bartmeise","Rietzer See","25.04.2003 20:00:00","Binder, Henrik","Adult","FETT:/;MAUSER:1","männlich",2003-04-25,2003,4,25,18.2,63,48.5
"126","ZB22515","Beringung","Bartmeise","Rietzer See","28.04.2007 06:00:00","Binder, Henrik","Adult","FETT=3;MAUSER=1;","männlich",2007-04-28,2007,4,28,16.2,63,48.5
"127","ZB66969","Beringung","Bartmeise","Rietzer See","26.04.2003 08:00:00","Binder, Henrik","Adult","FETT:1;MAUSER:1","männlich",2003-04-26,2003,4,26,16,64,48.5
"128","VD70141","Beringung","Teichrohrsänger","Rietzer See","15.07.2005 19:00:00","Binder, Henrik","Adult","FETT=;1;MAUSER=;1;EINKERBUNG;","weiblich",2005-07-15,2005,7,15,11.5,68,52
"129","VD70143","Beringung","Teichrohrsänger","Rietzer See","15.07.2005 19:00:00","Binder, Henrik","Adult","FETT=;2;MAUSER=;1;KGM;EINKERB","weiblich",2005-07-15,2005,7,15,12.5,68,50.5
"130","VD70144","Beringung","Teichrohrsänger","Rietzer See","15.07.2005 20:00:00","Binder, Henrik","Adult","FETT=;1;MAUSER=;1;EINKERBUNG;","unbekannt",2005-07-15,2005,7,15,13,69,52.5
"131","VD70079","Beringung","Teichrohrsänger","Rietzer See","16.07.2004 19:00:00","Binder, Henrik","Adult","FETT=;2;MAUSER=;1;EINK.;HS2=;12,5;BRUTFLECK","weiblich",2004-07-16,2004,7,16,11.5,65,49
"132","VD70150","Beringung","Teichrohrsänger","Rietzer See","15.07.2005 21:00:00","Binder, Henrik","Adult","FETT=;2;MAUSER=;1;EINKERBUNG;","weiblich",2005-07-15,2005,7,15,14.2,67,50.5
"133","VD70152","Beringung","Teichrohrsänger","Rietzer See","15.07.2005 21:00:00","Binder, Henrik","Adult","FETT=;1;MAUSER=;1;EINKERBUNG;","unbekannt",2005-07-15,2005,7,15,11.3,67,51.5
"134","VD70153","Beringung","Teichrohrsänger","Rietzer See","15.07.2005 21:00:00","Binder, Henrik","Adult","FETT=;0;MAUSER=;1;EINKERBUNG;","weiblich",2005-07-15,2005,7,15,11.7,66,49.5
"135","VD70163","Beringung","Teichrohrsänger","Rietzer See","16.07.2005 06:00:00","Binder, Henrik","Adult","FETT=;1;MAUSER=;1;EINKERBUNG;","unbekannt",2005-07-16,2005,7,16,13.1,69,53
"136","ZD91961","Beringung","Bartmeise","Rietzer See","27.04.2012 17:00:00","Binder, Henrik","Adult","FETT= 3; MAUSER= 1","männlich",2012-04-27,2012,4,27,17.7,66,49
"137","VD70167","Beringung","Teichrohrsänger","Rietzer See","16.07.2005 06:00:00","Binder, Henrik","Adult","FETT=;0;MAUSER=;1;EINKERBUNG;","unbekannt",2005-07-16,2005,7,16,11.2,67,50
"138","XC9838","Beringung","Gartenbaumläufer","Rietzer See","28.05.2012 11:00:00","Binder, Henrik","Adult","FETT= 2; MAUSER= 1","weiblich",2012-05-28,2012,5,28,8,66,49
"139","VC99335","Beringung","Teichrohrsänger","Rietzer See","13.07.2007 20:00:00","Binder, Henrik","Adult","FETT=;3;MAUSER=;1;EINK.;HS2=;10,5;KGM","männlich",2007-07-13,2007,7,13,12.9,67,49
"140","VE93874","Beringung","Teichrohrsänger","Rietzer See","10.07.2009 20:00:00","Binder, Henrik","Adult","FETT= 1; MAUSER=/; E= 12,0","weiblich",2009-07-10,2009,7,10,12.5,68,49
"141","VF52962","Beringung","Feldschwirl","Rietzer See","13.07.2013 08:00:00","Binder, Henrik","Adult","FETT= 2; MAUSER= 1","weiblich",2013-07-13,2013,7,13,14.2,68,49
