"","Ring_Inschrift","Fundtyp","Artbezeichnung deutsch","Ortsbezeichnung","Datum","Beobachter","Altersdefinition","Bemerkung","Geschlecht","date","year","month","day","Gewicht_num_min","Fluegellaenge_num_min","Teilfederlaenge_num_min"
"793","VD54264","Wiederfund","Bartmeise","Rietzer See","07.07.2004 08:00:00","Dürr, Tobias","Adult","EWF:1710","männlich",2004-07-07,2004,7,7,14.5,57,4.3
"794","VD29148","Wiederfund","Bartmeise","Rietzer See","18.05.2002 05:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2002-05-18,2002,5,18,14.5,58,4.4
"795","VD75670","Wiederfund","Bartmeise","Rietzer See","24.04.2004 05:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2004-04-24,2004,4,24,14.5,59,4.4
"796","VD75489","Wiederfund","Bartmeise","Rietzer See","23.04.2004 20:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2004-04-23,2004,4,23,13.5,56,4.4
"797","PA95423","Wiederfund","Bartmeise","Rietzer See","03.01.2002 12:00:00","Dürr, Tobias","Adult","F:61;FETT:3","männlich",2002-01-03,2002,1,3,15.5,61,4.4
"798","VD55103","Wiederfund","Bartmeise","Rietzer See","25.05.2005 08:00:00","Dürr, Tobias","Adult","EWF:1710","männlich",2005-05-25,2005,5,25,16.5,59,4.4
"799","VD55104","Beringung","Bartmeise","Rietzer See","30.04.2005 10:00:00","Dürr, Tobias","Adult","F:59;FETT:0","männlich",2005-04-30,2005,4,30,15,59,4.4
"800","VD75672","Wiederfund","Bartmeise","Rietzer See","16.07.2004 19:00:00","Dürr, Tobias","Adult","EWF:1710","männlich",2004-07-16,2004,7,16,16,62,4.4
"801","VD29053","Wiederfund","Bartmeise","Rietzer See","04.01.2002 14:00:00","Dürr, Tobias","Adult","EWF:1710","männlich",2002-01-04,2002,1,4,15.5,58,4.3
"802","VD55105","Beringung","Bartmeise","Rietzer See","05.05.2005 11:00:00","Dürr, Tobias","Adult","F:61;FETT:1","männlich",2005-05-05,2005,5,5,16,61,4.5
"803","VD28975","Wiederfund","Bartmeise","Rietzer See","20.07.2003 05:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2003-07-20,2003,7,20,14,56,4.4
"804","VD29049","Wiederfund","Bartmeise","Rietzer See","17.05.2002 08:00:00","Dürr, Tobias","Adult","EWF:1710","männlich",2002-05-17,2002,5,17,15.5,60,4.4
