"","model","npar","AIC","DeltaAIC","weight","neg2lnl","convergence"
"5","Phi(~Geschlecht)p(~Initials)",12,449.283472975224,0,0.877114401737518,425.283472975224,0
"2","Phi(~1)p(~Initials)",10,453.251458040194,3.96798506497072,0.120619974674096,433.251458040194,0
"6","Phi(~Geschlecht)p(~Geschlecht)",6,462.120800892473,12.8373279172493,0.00143042767347559,450.120800892473,0
"3","Phi(~1)p(~Geschlecht)",4,463.777418713247,14.4939457380234,0.000624792653637764,455.777418713247,0
"4","Phi(~Geschlecht)p(~1)",4,466.151817104905,16.868344129681,0.000190608320532104,458.151817104905,0
"1","Phi(~1)p(~1)",2,470.681405620517,21.3979326452937,1.97949407402129e-05,466.681405620517,0
"21","Phi(~Geschlecht)p(~time)",26,435.110612193024,0,0.949905127124127,383.110612193024,0
"11","Phi(~1)p(~time)",24,441.154088809278,6.04347661625491,0.0462760156009565,393.154088809278,0
"31","Phi(~time)p(~time)",46,446.14343394952,11.032821756496,0.0038188572749169,354.14343394952,0
"22","Phi(~time)p(~Initials)",32,447.642616287672,0,0.981990607595941,383.642616287672,0
"32","Phi(~time)p(~Geschlecht)",26,455.90673172076,8.26411543308808,0.0157607713569107,403.90673172076,0
"12","Phi(~time)p(~1)",24,459.801145454353,12.1585291666811,0.00224862104714832,411.801145454353,0
"23","Phi(~Geschlecht)p(~year)",27,467.943013824806,0,0.825706915309244,413.943013824806,0
"13","Phi(~1)p(~year)",25,471.05404386755,3.11103004274474,0.174290747107754,421.05404386755,0
"33","Phi(~year)p(~year)",48,493.492769174186,25.5497553493804,2.33758300279443e-06,397.492769174186,0
"14","Phi(~1)p(~Temp)",89,499.920893476475,0,1,321.920893476475,0
"15","Phi(~Temp)p(~1)",89,506.498708292545,0,1,328.498708292545,0
"16","Phi(~Geschlecht * Temp)p(~1)",147,598.02054550646,0,1,304.02054550646,0
